Symbol,Initial Cash,Final Value,Total Return (%),Annualized Return (%)
AAPL,100000,108489.62158203125,8.48962158203125,1.543054577386405
MSFT,100000,125895.42338562012,25.89542338562012,9.188264761949949
GOOGL,100000,126205.14683532715,26.20514683532715,7.777805501712397
AMZN,100000,120374.79630279541,20.37479630279541,5.4833355205534815
TSLA,100000,189982.62168884277,89.98262168884278,321.42216386305495
