Ticker,Name,Sector,Industry,Market Cap,PE Ratio,Dividend Yield
MRF.NS,MRF LTD,Consumer Cyclical,Auto Parts,570580074496,25.316391,0.0027
MSTC.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
MINDTREE.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
MEGH.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
MANORAMA.NS,MANORAMA INDUSTRIES LTD,Consumer Defensive,Packaged Foods,49788928000,124.86527,0.0005
METROPOLIS.NS,METROPOLIS HEALTHCARE LTD,Healthcare,Diagnostics & Research,108935372800,79.81203,0.0019
MINDTREE.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
MAXHEALTH.NS,MAX HEALTHCARE INS LTD,Healthcare,Medical Care Facilities,861903978496,82.41635,0.0017
NATIONALUM.NS,NATIONAL ALUMINIUM CO LTD,Basic Materials,Aluminum,328169029632,14.62193,0.0224
NESTLEIND.NS,NESTLE INDIA LIMITED,Consumer Defensive,Packaged Foods,2464144162816,82.79073,0.0128
NOCIL.NS,NOCIL LIMITED,Basic Materials,Specialty Chemicals,47517286400,37.909454,0.0104
NCR.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NIITLTD.NS,NIIT LIMITED,Consumer Defensive,Education & Training Services,23638745088,54.080494,0.009
NITESH.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NTPC.NS,NTPC LTD,Utilities,Utilities - Regulated Electric,3965453074432,19.290094,0.0287
NATCO.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NHPC.NS,NHPC LTD,Utilities,Utilities - Renewable,990342610944,31.193037,0.0194
NINL.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NITINSPINNER.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NVR.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NATURE.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NRB.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NETVESTORS.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NCS.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NEULAND.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
NATURAL.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
OBEROIRLTY.NS,OBEROI REALTY LIMITED,Real Estate,Real Estate - Development,648169783296,29.595112,0.0057
OIL.NS,OIL INDIA LTD,Energy,Oil & Gas Integrated,1165222084608,17.548996,0.0195
ONGC.NS,OIL AND NATURAL GAS CORP.,Energy,Oil & Gas Integrated,4096753664000,9.198926,0.039100002
ONEMOBILITY.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
ORG_NSN.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PBR.LTD,N/A,Unknown,Unknown,N/A,N/A,N/A
PEL.NS,PIRAMAL ENTERPRISES LTD,Financial Services,Financial Conglomerates,238729674752,N/A,0.0095
PRISMJOHNDAL.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PRISMJO.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PHOENIXLTD.NS,THE PHOENIX MILLS LTD,Real Estate,Real Estate - Diversified,652424577024,59.88597,0.0013
PIDILITIND.NS,PIDILITE INDUSTRIES LTD,Basic Materials,Specialty Chemicals,1620342603776,88.37171,0.0050999997
PIIND.NS,PI INDUSTRIES LTD,Basic Materials,Agricultural Inputs,689397628928,39.39364,0.0039
PVR.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PNB.NS,PUNJAB NATIONAL BANK,Financial Services,Banks - Regional,1280028835840,10.905253,0.0128999995
PLASTIBLEND.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PPAPIND.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PPI.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PRAGMATIC.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PPA.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PROZONE.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PUNJABALCO.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PUNJLLOYD.NS,"PUNJLLOYD.NS,0P0000C4UG,0",Unknown,Unknown,N/A,N/A,N/A
PUNJAB.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
PVR.LTD,N/A,Unknown,Unknown,N/A,N/A,N/A
RAYMOND.NS,RAYMOND LTD,Consumer Cyclical,Textile Manufacturing,142122385408,8.611504,0.005
RECLTD.NS,REC LIMITED,Financial Services,Credit Services,1622721822720,11.107607,0.0227
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,Oil & Gas Refining & Marketing,20517239128064,29.801476,0.0033000002
SBI.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
SILVER.BONDS,N/A,Unknown,Unknown,N/A,N/A,N/A
SITSL.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
SYNGENE.NS,SYNGENE INTERNATIONAL LTD,Healthcare,Diagnostics & Research,349244030976,71.24693,0.0014
SYNGENE.NS,SYNGENE INTERNATIONAL LTD,Healthcare,Diagnostics & Research,349244030976,71.24693,0.0014
TATAMOTORS.NS,TATA MOTORS LIMITED,Consumer Cyclical,Auto Manufacturers,4394804314112,12.35608,0.0027
TATAMETAL.NS,** SEE<TATAMETALI.NS>,Unknown,Unknown,N/A,N/A,N/A
TATACHEM.NS,TATA CHEMICALS LTD,Basic Materials,Chemicals,282616463360,N/A,0.0138
TATAELXSI.NS,TATA ELXSI LIMITED,Technology,Software - Application,489829040128,62.277298,0.009
TATAGLOBAL.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
TATAINVEST.NS,TATA INVESTMENT CORP LTD,Financial Services,Capital Markets,362171301888,98.24596,0.0039
TATAPOWER.NS,TATA POWER CO LTD,Utilities,Utilities - Independent Power Producers,1386777542656,37.510803,0.0046
TATAPHARM.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
TATAMETALIKS.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
TATASPL.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
TCS.NS,TATA CONSULTANCY SERV LT,Technology,Information Technology Services,16426670751744,35.23593,0.0124
TGBL.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,Luxury Goods,3206152716288,93.00952,0.0031
TORMETAL.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
TORNTPOWER.NS,TORRENT POWER LTD,Utilities,Utilities - Independent Power Producers,838308397056,36.547493,0.0091
TRIDENT.NS,TRIDENT LIMITED,Consumer Cyclical,Textile Manufacturing,185888260096,56.815388,0.0195
TRF.NS,TRF LIMITED,Industrials,Specialty Industrial Machinery,5766855680,15.606014,N/A
TV18BRDCST.NS,TV18 BROADCAST LIMITED,Communication Services,Broadcasting,86335111168,N/A,N/A
TVSMOTOR.NS,TVS MOTOR COMPANY  LTD,Consumer Cyclical,Auto Manufacturers,1323924979712,77.40833,0.0029
UDAYJYOTI.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
UMI.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
UPL.NS,UPL LIMITED,Basic Materials,Agricultural Inputs,453817565184,N/A,0.0017
UNITEDPHAR.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
VIPIND.NS,VIP INDUSTRIES LTD,Consumer Cyclical,Footwear & Accessories,69332508672,9767.0,0.0041
VOLTAS.NS,VOLTAS LTD,Industrials,Specialty Industrial Machinery,595593003008,130.43478,0.0031
VSTIND.NS,VST INDUSTRIES LTD,Consumer Defensive,Tobacco,69198077952,25.61564,0.032899998
WABAG.NS,VA TECH WABAG LTD,Industrials,Engineering & Construction,79183929344,31.649267,N/A
WELSPUNIND.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
WELCORP.NS,WELSPUN CORP LIMITED,Basic Materials,Steel,182849765376,15.339934,0.0072000003
WILLH.BST,N/A,Unknown,Unknown,N/A,N/A,N/A
YESBANK.NS,YES BANK LIMITED,Financial Services,Banks - Regional,747867865088,48.69388,N/A
ZEEENT.NS,N/A,Unknown,Unknown,N/A,N/A,N/A
ZYDUSLIFE.NS,ZYDUS LIFESCIENCES LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1123304865792,27.069592,0.0027
